"","Provider.ID","QC-T-ed_1b","QC-T-op_3b","QC-T-op_20","QC-T","QC-CP-op_6","QC-CP-op_7","QC-CP-pn_6","QC-CP-scip_inf_1","QC-CP-scip_inf_2","QC-CP-scip_inf_3","QC-CP-scip_vte_2","QC-CP-stk_6","QC-CP-vte_3","QC-CP-vte_6","QC-CP","QC-AD-readm_30_ami","QC-AD-readm_30_copd","QC-AD-readm_30_cabg","QC-AD-readm_30_hf","QC-AD-readm_30_pn","QC-AD-readm_30_hipknee","QC-AD-readm_30_stk","QC-AD","PD-mort_30_copd","PD-mort_30_cabg","PD-mort_30_ami","PD-mort_30_hf","PD-mort_30_pn","PD-mort_30_stk","QC","PD","PW","QS"
"49","100045",0.717576791808874,NA,0.80799045915325,0.762783625481062,0.96,0.935483870967742,1,1,1,1,1,1,1,NA,0.988387096774194,0.0608166811468288,0.260542573193661,NA,0.549524054540777,0.0532292405961675,0.707808564231738,0.494307748806463,0.354371477085939,0.222283205268935,NA,0.858739026336792,0.159473684210526,0.210588793922127,0.717493661716769,23.3949133260133,14.4571891430343,5.83333333333333,43.6854358023809
"50","100046",0.525597269624573,NA,0.471675611210495,0.498636440417534,0.986666666666667,0.967741935483871,1,1,0.978021978021978,0.989010989010989,1,1,0.96875,NA,0.987799063242612,0.26498696785404,0.963470319634703,0.345057034220532,0.416773861589915,0.553820676602792,0.707808564231738,0.348879911861917,0.514399619427948,0.45801317233809,0.540999057492931,0.301675977653631,0.28078947368421,0.316951566951567,0.444042013763129,22.2315013676455,13.0137292326864,6.25,41.4952306003319
"51","100047",0.265927189988623,NA,0.683959451401312,0.474943320694968,0.986666666666667,0.983870967741935,0.975,1,0.989010989010989,0.978021978021978,0.99,0.939024390243902,0.828125,NA,0.963302221298386,0.392701998262381,0.93795326349718,0.216730038022814,0.808850012863391,0.124201561391058,0.768261964735516,0.165626147631289,0.487760712343375,0.45801317233809,0.295004712535344,0.773343974461293,0.525,0.895536562203229,0.214052879391525,21.4000694926303,17.5608405607193,5.41666666666667,44.3775767200163
"52","100048",0.449374288964733,NA,0.962432915921288,0.70590360244301,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,0.686274509803922,NA,0.171597633136095,0.596640643482375,NA,NA,0.48483759547413,0.679198682766191,NA,NA,0.144473684210526,0.480294396961064,NA,24.341568865746,14.4885195993087,22.9166666666667,61.7467551317214
"53","100049",0.543515358361775,NA,0.185450208706023,0.364482783533899,1,0.919354838709677,0.95,1,0.956043956043956,0.989010989010989,0.99,0.890243902439024,0.75,NA,0.938294854022627,0.21372719374457,0.472468439430567,NA,0.66709544635966,0.0442394132954814,0.340410219503419,0.582078589790672,0.386669883687395,0.338090010976948,NA,0.686751795690343,0.672368421052632,0.0372744539411206,0.603404563563926,18.7716391249325,15.5859283014998,2.5,36.8575674264323
"54","10005",0.465017064846416,NA,0.566189624329159,0.515603344587788,1,0.951612903225806,0.975,1,0.989010989010989,1,1,0.878048780487805,1,0.591549295774648,0.938522196849925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","100050",0.851535836177474,NA,0.85629099582588,0.853913416001677,0.986666666666667,0.951612903225806,0.9375,1,0.989010989010989,0.714285714285714,0.99,0.634146341463415,0.4375,NA,0.848969179405843,0.509556907037359,0.686274509803922,NA,0.0208386930794957,0.0366690324106932,0.707808564231738,0.384869629085567,0.391002889274796,0.952524698133919,NA,0.272944932162809,0.895263157894737,0.454415954415954,0.303513219847881,23.265394274248,19.191079749702,12.0833333333333,54.5398073572833
"56","100051",0.806598407281001,NA,0.944543828264758,0.87557111777288,0.973333333333333,0.919354838709677,0.925,0.98,0.989010989010989,0.978021978021978,1,0.951219512195122,0.890625,0.816901408450704,0.94234670597218,0.677671589921807,0.686274509803922,NA,0.581682531515307,0.136740004731488,0.768261964735516,0.889092912229159,0.6232872521562,0.724753018660812,NA,0.185155626496409,0.466842105263158,0.0149572649572649,0.766751177109743,27.1245008433473,14.3897279499159,1.25,42.7642287932632
"57","100052",0.860068259385666,NA,0.898628503279666,0.879348381332666,0.973333333333333,0.983870967741935,0.9,0.99,0.989010989010989,0.989010989010989,0.99,0.939024390243902,0.953125,0.76056338028169,0.946793904962284,0.392701998262381,0.0193392425463336,0.432509505703422,0.0599434010805249,0.221433640880057,0.707808564231738,0.811972089607051,0.377958348901644,0.153677277716795,0.605089538171536,0.0175578611332802,0.28078947368421,0.128442545109212,0.347700108656284,24.4900070577399,8.51809335817399,6.66666666666667,39.6747670825806
"58","100053",0.978668941979522,0.078239608801956,0.0954084675014908,0.38410567276099,0.96,0.983870967741935,1,0.99,0.978021978021978,0.945054945054945,1,0.963414634146341,0.84375,NA,0.962679169440578,0.0855777584708949,0.260542573193661,NA,0.00565989194751737,0.124201561391058,NA,0.0602276900477414,0.107241895010174,0.19840834248079,NA,0.916201117318436,0.920526315789474,0.454415954415954,0.744295545092358,16.155852635686,21.5589818339801,2.5,40.2148344696661
